"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"1396849","occ","","","192429","Aldabrachelys gigantea","species","365355","Late Pleistocene","","0.126","0.0117","65136"
"1396998","occ","","","92902","Testudo marginata","species","376852","Late Pleistocene","","0.126","0.0117","65163"
"1397000","occ","","","192441","Testudo marginata","species","376852","Pleistocene","","2.588","0.0117","65163"
"1397002","occ","","","192442","Testudo marginata","species","376852","Pleistocene","","2.588","0.0117","69330"
"1397005","occ","","","192444","Testudo marginata","species","376852","Pliocene","Pleistocene","5.333","0.0117","65163"
"1397006","occ","","","192445","Testudo graeca","species","364325","Pleistocene","","2.588","0.0117","65163"
"1397007","occ","36843","","192446","Testudo antiqua","species","364327","Late Miocene","","11.608","5.333","72007"
"1400369","occ","","","192971","Manouria oyamai","species","364854","Late Pleistocene","","0.126","0.0117","65605"
"1401720","occ","","","187347","Paleotestudo antiqua","species","358124","Langhian","Serravallian","15.97","11.62","65661"
"1401721","occ","","","187345","Paleotestudo antiqua","species","358124","Serravallian","","13.82","11.62","65661"
"1401722","occ","","","187341","Paleotestudo antiqua","species","358124","Langhian","","15.97","13.82","65661"
"1401723","occ","","","193245","Paleotestudo antiqua","species","358124","Early Miocene","","23.03","15.97","65661"
"1401724","occ","","","187337","Paleotestudo antiqua","species","358124","Langhian","","15.97","13.82","65661"
"1401725","occ","","","193246","Paleotestudo antiqua","species","358124","Early Miocene","","23.03","15.97","65661"
"1401726","occ","","","193247","Paleotestudo antiqua","species","358124","Early Miocene","","23.03","15.97","65661"
"1401727","occ","","","35876","Paleotestudo antiqua","species","358124","Vallesian","","11.608","8.7","65661"
"1405781","occ","","","194169","Cylindraspis triserrata","species","377728","Holocene","","0.0117","0","65931"
"1405782","occ","","","194169","Cylindraspis inepta","species","377726","Holocene","","0.0117","0","65931"
"1406974","occ","","","194472","Testudo marginata","species","376852","Middle Pleistocene","","0.781","0.126","66043"
"1406977","occ","","","194477","Testudo marginata","species","376852","Middle Pleistocene","","0.781","0.126","66043"
"1408767","occ","","","49520","Testudo steinheimensis","species","430087","MN 7 + 8","","12.75","11.1","74673"
"1409066","occ","","","194684","Testudo steinheimensis","species","430087","Middle Miocene","","15.97","11.608","66150"
"1412055","occ","","","153777","Chelonoidis cubensis","species","174457","Late Pleistocene","Holocene","0.126","0","66345"
"1412115","occ","","","20384","Gopherus polyphemus","species","55036","Gelasian","","2.588","1.806","66358"
"1412116","occ","","","20385","Gopherus polyphemus","species","55036","Irvingtonian","","1.8","0.3","66358"
"1412117","occ","","","98317","Gopherus polyphemus","species","55036","Blancan","","4.9","1.8","66358"
